epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1
0,0.6673039793968201,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.695489227771759,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,0.6997482180595398,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,0.688043475151062,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,0.6641733646392822,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,0.666839063167572,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,0.6690566539764404,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,0.6611711978912354,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,0.6841343641281128,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,0.65622878074646,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
